codigoarticulo	codigofabrica	ubicacion	codigodemarca	nombre_marca	
BAQ110	BAQ 110	1-1-05-4-09	062	BOTTA	
BAQ115	BAQ 115	1-1-05-4-08	062	BOTTA	
BDS	BDS	1-2-10-2-01	042	JC TORNILLOS	
BDY	BDY	1-2-10-2-03	042	JC TORNILLOS	
BF113	BF113	1-4-02-2-06	80	CROSS X	
BHAX	BHAX	1-2-10-2-01	042	JC TORNILLOS	
BHC	BHC		042	JC TORNILLOS	
BHCG	BHCG	1-2-10-2-02	042	JC TORNILLOS	
BHRX	BHRX	1-2-10-2-01	042	JC TORNILLOS	
BM101	BM101		80	CROSS X	
BPAX	BPAX	1-3-01-2-09	042	JC TORNILLOS	
BPCG	BPCG	1-2-10-2-02	042	JC TORNILLOS	
BPS	BPS	1-2-10-2-01	042	JC TORNILLOS	
BRN 10001	BRN 10001	nave fondo brn	004	BRN	
BRN 109	BRN 109		004	BRN	
BRN 110	BRN 110		004	BRN	
BRN 117	BRN 117		004	BRN	
BRN 119	BRN 119		004	BRN	
BRN 123	BRN 123		004	BRN	
BRN 124	BRN 124		004	BRN	
BRN 204		1-4-02-4-07	004	BRN	
BRN 211	BRN 211		004	BRN	
BRN 300	BRN 300	E38 M4 C4 U5	004	BRN	
BRN 303	BRN 303		004	BRN	
BRN 309	BRN 309		004	BRN	
BRN 330	BRN 330		004	BRN	
BRN 332	BRN 332		004	BRN	
BRN 334	BRN 334		004	BRN	
BRN 339	BRN 339		004	BRN	
BRN 400	BRN 400	E38 M4 C4 U2	004	BRN	
BRN 405	BRN 405		004	BRN	
BRN 5000	BRN 5000	E38 M4 C5 U3	004	BRN	
BRN 711	BRN 711		004	BRN	
BRN 712	BRN 712		004	BRN	
BRN 802	BRN 802		004	BRN	
BRN 912	BRN 912		004	BRN	
BU101A	BU101A	1-2-07-2-04	80	CROSS X	
BU106	BU106	1-4-02-3-13	80	CROSS X	
BU-205C	BU205C/315	1-1-05-2-01	062	BOTTA	
BU-210	BU210	1-1-05-2-02	062	BOTTA	
BU-215	BU215	1-1-05-2-03	062	BOTTA	
BU-216	BU216	1-1-05-2-04	062	BOTTA	
BU23-306	BU23-306	1-1-05-2-08	062	BOTTA	
BU23-308	BU23-308	1-1-05-2-07	062	BOTTA	
BU24-305	BU24-305	1-1-05-2-08	062	BOTTA	
BU-300	BU-M300T	1-1-05-2-05	062	BOTTA	
BU-307	BU307	1-1-05-2-08	062	BOTTA	
BU-320	BU320		062	BOTTA	
BU-321	BU321	1-1-07-2-01	062	BOTTA	
BU-330	BU330	1-1-05-3-01	062	BOTTA	
BU-335	BU335	1-1-05-3-02	062	BOTTA	
BU-340	BU340	1-1-05-3-03	062	BOTTA	
BU-345	BU345	1-1-03-3-06	062	BOTTA	
BU-346	BU346	1-1-05-3-04	062	BOTTA	
BU-347	BU347	1-1-05-3-05	062	BOTTA	
BU-350	BU350	1-1-05-3-06	062	BOTTA	
BU-500	BU500	1-1-05-3-07	062	BOTTA	
BU-501	BU501	1-1-05-3-08	062	BOTTA	
BU-502/520	BU502/520	1-1-03-3-07	062	BOTTA	
BU-505	BU505	1-1-05-3-09	062	BOTTA	
BU-510	BU510	1-1-05-3-10	062	BOTTA	
BU-515	BU515	1-1-05-3-11	062	BOTTA	
BU-520	BU520	1-1-07-3-01	062	BOTTA	
BU-703	BU703	1-1-07-3-02	062	BOTTA	
BU-705L	BU705L	1-1-07-3-03	062	BOTTA	
BU-710	BU710	1-1-07-3-04	062	BOTTA	
BU-711	BU711	1-1-07-3-05	062	BOTTA	
BU-715	BU715		062	BOTTA	
BU-720	BU720	1-1-07-3-06	062	BOTTA	
BU-725	BU725	1-1-07-3-07	062	BOTTA	
BU-726	BU726	1-1-07-3-08	062	BOTTA	
BU-727	BU727	1-1-07-3-09	062	BOTTA	
BU-800	BU800	1-1-07-3-10	062	BOTTA	
BU-810	BU810	1-1-07-3-11	062	BOTTA	
BU-850	BU850	1-1-07-3-11	062	BOTTA	
BU-900	BU900	1-1-05-4-02	062	BOTTA	
BU-900C	BU900C	1-1-05-4-01	062	BOTTA	
BU-M310	BU-M310	1-1-05-2-09	062	BOTTA	
BU-M310C	BU-M310C		062	BOTTA	
BU-M311	BU-M311	1-1-05-2-09	062	BOTTA	
C130/60X13	C130/60X13	fondo	21	XXI	
C130/90X15	C130/90X15	fondo	21	XXI	
C229	C229	1-4-08-3-04	80	CROSS X	
C250X16	C250X16	fondo	21	XXI	
C300X18			21	XXI	
C325/350X16	C325/350X16	fondo	21	XXI	
C350X10	C350X10	fondo	21	XXI	
C410X18	C410X18	fondo	21	XXI	
C902	C902		80	CROSS X	
C904	C904	1-2-05-3-09	80	CROSS X	
C907	C907	1-2-05-3- 10	80	CROSS X	
C915	C915	1-2-05-3-11	80	CROSS X	
CA304	CA304	1-3-09-5-01	80	CROSS X	
CA307	CA307		80	CROSS X	
CA308	CA308	1-3-09-5-03	80	CROSS X	
CA311	CA311	1-3-09-5-06	80	CROSS X	
CA315	CA315	1-3-09-5-04	80	CROSS X	
CA319	CA319	1-1-09-1-05	80	CROSS X	
CA321	CA321	1-3-09-5-adelante	80	CROSS X	
CA322	CA322	1-1-09-1-06	80	CROSS X	
CA402	CA402	1-1-09-1-03	80	CROSS X	
CA403	CA403	1-1-09-1-07	80	CROSS X	
CA406	CA406	1-3-09-5-02	80	CROSS X	
CAM-25017	CAM-25017	FONDO	059	OSAKA	
CAM-27514	CAM-27514	fondo	059	OSAKA	
CAM-27517	CAM-27517	fondo	059	OSAKA	
CAM-27518	CAM-27518	fondo	059	OSAKA	
CAM-27519	CAM-27519	fondo	059	OSAKA	
CAM-27521	CAM-27521	fondo	059	OSAKA	
CAM-30014	CAM-30014	fondo	059	OSAKA	
CAP0010	CAP0010		062	BOTTA	
CB101	CB101	1-4-10-3-08	80	CROSS X	
CJ103	CJ103		80	CROSS X	
CKM0002	CKM0002	1-2-03-2-05	84	CKM PARTS	
CKM0049	CKM0049	1-4-02-2-02	84	CKM PARTS	
CKM0198	CKM0198	1-2-03-4-07	84	CKM PARTS	
CKM0213	CKM0213	1-2-03-2-03	84	CKM PARTS	
CKM0288	CKM0288	1-2-03-4-05	84	CKM PARTS	
CKM0366	CKM0366	1-2-03-3-04	84	CKM PARTS	
CL102A	CL102A	1-2-03-2-02	80	CROSS X	
CL111	CL111	1-2-05-2-02	80	CROSS X	
CL113	CL113	1-2-05-2-01	80	CROSS X	
CLQ101	CLQ101	1-2-07-2-04	80	CROSS X	
CM100	CM100		87	02 LIQUIDACION	
CMP-1389-M	SP-1389	2-3-04-2-01	21	XXI	
CMP-1389-XL	SP-1389	2-3-05-1-04	21	XXI	
CN107	CN107	1-2-05-3-06	80	CROSS X	
CN111	CN111	1-2-05-3-06	80	CROSS X	
CN250X17	CN250X17	fondo	21	XXI	
CN410X18	CN410X18	fondo	21	XXI	
CU101	CU101	1-2-05-4-05	80	CROSS X	
CU107	CU107	1-2-05-3-10	80	CROSS X	
CU108	CU108	1-2-05-3-10	80	CROSS X	
D311	D311	1-2-03-2-01	80	CROSS X	
DEMG1S01	DEMG1S01		21	XXI	
DEMH1C25	DEMH1C25	1-3-02-2-04	21	XXI	
DEMZ1R15	DEMZ1R15	1-3-02-3-05	21	XXI	
DL101	DL101	1-2-03-2-03	80	CROSS X	
DSTU1U01-S	DSTU1U01-S	1-4-08-2-05	21	XXI	
DSTU1U02-S	DSTU1U02-S	1-4-08-2-06	21	XXI	
E1030	E1030	1-2-10-3-09	042	JC TORNILLOS	
E1040	E1040	1-2-10-3-09	042	JC TORNILLOS	
E18	E18	1-2-10-2-09	042	JC TORNILLOS	
E181	E181		042	JC TORNILLOS	
E510	E510	1-2-10-2-10	042	JC TORNILLOS	
E515	E515	1-2-10-2-10	042	JC TORNILLOS	
E610	E610	1-2-10-2-10	042	JC TORNILLOS	
E615	E615	1-2-10-2-11	042	JC TORNILLOS	
E620	E620	1-2-10-2-11	042	JC TORNILLOS	
E625	E625	1-2-10-2-11	042	JC TORNILLOS	
E630	E630	1-2-10-2-12	042	JC TORNILLOS	
E635	E635	1-2-10-2-12	042	JC TORNILLOS	
E640	E640		042	JC TORNILLOS	
E730	E730	1-2-10-2-12	042	JC TORNILLOS	
E735	E735	1-2-10-2-13	042	JC TORNILLOS	
E760	E760	1-2-10-2-13	042	JC TORNILLOS	
E8100	E8100	1-2-10-3-11	042	JC TORNILLOS	
E8110	E8110	1-2-10-3-09	042	JC TORNILLOS	
E8120	E8120	1-2-10-3-09	042	JC TORNILLOS	
E815	E815	1-2-10-2-13	042	JC TORNILLOS	
E820	E820	1-2-10-3-13	042	JC TORNILLOS	
E825	E825	1-2-10-3-13	042	JC TORNILLOS	
E830	E830	1-2-10-3-13	042	JC TORNILLOS	
E835	E835	1-2-10-3-12	042	JC TORNILLOS	
E840	E840	1-2-10-3-12	042	JC TORNILLOS	
E850	E850	1-2-10-3-12	042	JC TORNILLOS	
E860	E860	1-2-10-3-11	042	JC TORNILLOS	
E865	E865	1-2-10-3-11	042	JC TORNILLOS	
E870	E870		042	JC TORNILLOS	
E890	E890	1-2-10-3-11	042	JC TORNILLOS	
E895	E895		042	JC TORNILLOS	
EC12	EC12	1-2-10-3-10	042	JC TORNILLOS	
EC17	EC17	1-2-10-3-10	042	JC TORNILLOS	
ECAX	ECAX		042	JC TORNILLOS	
ECCG	ECCG	1-2-10-2-04	042	JC TORNILLOS	
ECD	ECD	1-2-10-3-08	042	JC TORNILLOS	
ECFZ	ECFZ		042	JC TORNILLOS	
ECRX	ECRX	1-2-10-2-07	042	JC TORNILLOS	
ECS	ECS		042	JC TORNILLOS	
ECSK	ECSK	1-2-10-2-04	042	JC TORNILLOS	
ECVC	ECVC	1-2-10-2-07	042	JC TORNILLOS	
ECXT	ECXT	1-2-10-2-07	042	JC TORNILLOS	
ECYB	ECYB	1-2-10-2-07	042	JC TORNILLOS	
ED107	ED107	1-2-01-3-02	80	CROSS X	
ED114	ED114	1-1-07-1-03	80	CROSS X	
EDAR 109	109		066	EDAR	
EDAR 115	115		066	EDAR	
EDAR 116	115		066	EDAR	
EDAR 194	194		066	EDAR	
EDAR 195	195		066	EDAR	
EDAR 218	218		066	EDAR	
EDAR 268	268		066	EDAR	
EDAR 271	271		066	EDAR	
EDAR 276	276		066	EDAR	
EDAR 280	280		066	EDAR	
EDAR 282	282		066	EDAR	
EDAR 292	292		066	EDAR	
EDAR 341	341		066	EDAR	
EDAR 351	351		066	EDAR	
EDAR 356	356		066	EDAR	
EDAR 397	397		066	EDAR	
EDAR 400	400		066	EDAR	
EDAR 442	442		066	EDAR	
EDAR 450	450		066	EDAR	
EDAR 487	487		066	EDAR	
EDAR 569	569		066	EDAR	
EDAR 573	573		066	EDAR	
EDAR 608	608		066	EDAR	
